index,Game,Date,Winning team,Losing team,Attendance,Average U.S. Viewers,Avg cost of tickets (adj for inflation),Avg Median Income (all races),Percentage of tickets to avg median income,Cost Per 30s Ad
1,I,1/5/1967,Green Bay Packers,Kansas City Chiefs,61946,51180000,90.21,53530,0.1685223239,40000
2,II,1/14/1968,Green Bay Packers,Oakland Raiders,75546,39120000,104.44,55810,0.1871349221,54500
3,III,1/12/1969,New York Jets,Baltimore Colts,75389,41660000,100.04,58010,0.1724530253,55000
4,IV,1/11/1970,Kansas City Chiefs,Minnesota Vikings,80562,44270000,125.05,57580,0.2171761028,78200
5,V,1/17/1971,Baltimore Colts,Dallas Cowboys,79204,46040000,111.86,57090,0.195936241,72500
6,VI,1/16/1972,Dallas Cowboys,Miami Dolphins,81023,56640000,108.32,59330,0.1825720546,86100
7,VII,1/14/1973,Miami Dolphins,Washington Redskins,90182,53320000,104.51,60610,0.172430292,88100
8,VIII,1/13/1974,Miami Dolphins,Minnesota Vikings,71882,51700000,95.54,58780,0.1625382783,103500
9,IX,1/12/1975,Pittsburgh Steelers,Minnesota Vikings,80997,56050000,113.93,57180,0.1992479888,107000
10,X,1/18/1976,Pittsburgh Steelers,Dallas Cowboys,80187,57710000,106.76,58160,0.183562586,110000
11,XI,1/9/1977,Oakland Raiders,Minnesota Vikings,103438,62050000,101.47,58450,0.1736013687,125000
12,XII,1/15/1978,Dallas Cowboys,Denver Broncos,76400,78940000,142.46,60720,0.2346179183,162300
13,XIII,1/21/1979,Pittsburgh Steelers,Dallas Cowboys,79484,74740000,130.36,60610,0.2150800198,185000
14,XIV,1/20/1980,Pittsburgh Steelers,Los Angeles Rams,103985,76240000,114.45,58720,0.1949080381,222000
15,XV,1/25/1981,Oakland Raiders,Philadelphia Eagles,76135,68290000,136.46,57730,0.2363762342,275000
16,XVI,1/24/1982,San Francisco 49er,Cincinnati Bengals,81270,85240000,125.89,57750,0.217991342,324300
17,XVII,1/30/1983,Washington Redskins,Miami Dolphins,103667,81770000,121.38,57210,0.2121657053,400000
18,XVIII,1/22/1984,Los Angeles Raiders,Washington Redskins,72920,77620000,174.76,58930,0.296555235,368200
19,XIX,1/20/1985,San Francisco 49ers,Miami Dolphins,84059,85530000,168.79,60050,0.2810824313,525000
20,XX,1/26/1986,Chicago Bears,New England Patriots,73818,92570000,203.1,63380,0.3204480909,550000
21,XXI,1/25/1987,New York Giants,Denver Broncos,101063,87190000,200.18,63060,0.3174437044,600000
22,XXII,1/31/1988,Washington Redskins,Denver Broncos,73302,80140000,256.52,63530,0.4037777428,645000
23,XXIII,1/22/1989,San Francisco 49ers,Cincinnati Bengals,75129,81590000,245.08,64610,0.3793220864,675000
24,XXIV,1/28/1990,San Francisco 49ers,Denver Broncos,72919,73852000,291.21,63830,0.4562274792,700400
25,XXV,1/27/1991,New York Giants,Buffalo Bills,73813,79510000,330.75,61960,0.5338121369,800000
26,XXVI,1/26/1992,Washington Redskins,Buffalo Bills,63130,79590000,332.37,61450,0.5408787632,850000
27,XXVII,1/31/1993,Dallas Cowboys,Buffalo Bills,98374,90990000,364.23,61150,0.5956336877,850000
